Site,Water,Developed,Barren Land,Forest,Agriculture,Wetlands,TP_conc_change_pct_1999_2024,TP_flux_change_pct_1999_2024
Rockledge,-3.32,25.94,-81.61,30.27,0.1,-0.21,-73,-76
Sanford,0.49,19.2,-23.57,-44.37,-65.41,-4.2,-32,-41
Cow Creek,0.96,19.82,34.42,-14.3,4.41,-0.96,-70,-75
Jacksonville,-0.46,0.32,NA,-47.79,NA,-5.41,-28,-30
