Site,Water,Developed,Barren Land,Forest,Agriculture,Wetlands,TKN_conc_change_pct_1999_2024,TKN_flux_change_pct_1999_2024
Rockledge,-3.32,25.94,-81.61,30.27,0.1,-0.21,40,18
Sanford,0.49,19.2,-23.57,-44.37,-65.41,-4.2,-14,-21
Cow Creek,0.96,19.82,34.42,-14.3,4.41,-0.96,76,67
Jacksonville,-0.46,0.32,NA,-47.79,NA,-5.41,-35,-45
Full Watershed,1.22,28.07,47.35,-4.91,-13.29,-1.77,NA,NA
