Component,Eigenvalue,Variance_Explained,Cumulative_Variance
Dim.1,4.76906324663227,79.48438744387113,79.48438744387113
Dim.2,0.9188556390409234,15.31426065068205,94.79864809455317
Dim.3,0.3120811143268093,5.20135190544682,100
Dim.4,1.3973779464920498e-32,2.328963244153415e-31,100
